fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
18239,TH-Ext-2023-006,81.58,9107_2018_18239_M,CHILLIWACK_RIVER_fall,2018,4,P2,B9,26.16,as-is,P2,E6,10,0,,
70917,TH-Ext-2023-010,81.48,100_2020_70917_M,QUALICUM_RIVER,2020,3,P2,C9,28.37,as-is,P2,F6,10,0,,
18342,TH-Ext-2023-006,80.87,9107_2018_18342_M,CHILLIWACK_RIVER_fall,2018,3,P2,D9,27.93,as-is,P2,G6,10,0,,
76546,TH-Ext-2023-009,80.53,9107_2020_76546_M,CHILLIWACK_RIVER_fall,2020,3,P2,E9,27.6,as-is,P2,H6,10,0,,
51650,TH-Ext-2023-004,80.51,9107_2017_51650_M,CHILLIWACK_RIVER_fall,2017,3,P2,F9,23.38,as-is,P2,A7,10,0,,
223454,TH-Ext-2023-010,80.32,9107_2021_223454_M,CHILLIWACK_RIVER_fall,2021,4,P2,G9,26.55,as-is,P2,B7,10,0,,
80429,TH-Ext-2023-006,80.12,9107_2018_80429_M,CHILLIWACK_RIVER_fall,2018,2,P2,H9,22.66,as-is,P2,C7,10,0,,
40579,TH-Ext-2023-007,79.89,9107_2019_40579_M,CHILLIWACK_RIVER_fall,2019,2,P2,A10,24.34,as-is,P2,D7,10,0,,
219896,TH-Ext-2023-012,79.86,100_2021_219896_M,QUALICUM_RIVER,2021,4,P2,B10,16.41,as-is,P2,E7,10,0,,
6434,TH-Ext-2023-005,79.84,100_2017_6434_M,QUALICUM_RIVER,2017,4,P2,C10,22.44,as-is,P2,F7,10,0,,
18489,TH-Ext-2023-006,79.82,9107_2018_18489_M,CHILLIWACK_RIVER_fall,2018,4,P2,D10,22.45,as-is,P2,G7,10,0,,
223280,TH-Ext-2023-010,79.44,9107_2021_223280_M,CHILLIWACK_RIVER_fall,2021,4,P2,E10,24,as-is,P2,H7,10,0,,
93742,TH-Ext-2023-009,79.21,9105_2020_93742_M,PUNTLEDGE_RIVER_fall,2020,4,P2,F10,23.31,as-is,P2,A8,10,0,,
223677,TH-Ext-2023-010,79.12,9107_2021_223677_M,CHILLIWACK_RIVER_fall,2021,3,P2,G10,24.65,as-is,P2,B8,10,0,,
1392,TH-Ext-2023-005,78.86,9105_2017_1392_M,PUNTLEDGE_RIVER_fall,2017,4,P2,H10,20.47,as-is,P2,C8,10,0,,
223393,TH-Ext-2023-010,78.59,9107_2021_223393_M,CHILLIWACK_RIVER_fall,2021,3,P2,A11,21.69,as-is,P2,D8,10,0,,
71118,TH-Ext-2023-010,78.2,100_2020_71118_M,QUALICUM_RIVER,2020,3,P2,B11,27.64,as-is,P2,E8,10,0,,
240424,TH-Ext-2023-011,77.92,9105_2021_240424_M,PUNTLEDGE_RIVER_fall,2021,2,P2,C11,21.65,as-is,P2,F8,10,0,,
18354,TH-Ext-2023-006,77.82,9107_2018_18354_M,CHILLIWACK_RIVER_fall,2018,3,P2,D11,25.44,as-is,P2,G8,10,0,,
70963,TH-Ext-2023-010,77.51,100_2020_70963_M,QUALICUM_RIVER,2020,3,P2,F11,28.71,as-is,P2,H8,10,0,,
93983,TH-Ext-2023-009,77.23,9105_2020_93983_M,PUNTLEDGE_RIVER_fall,2020,3,P2,G11,24.44,as-is,P2,A9,10,0,,
219707,TH-Ext-2023-011,76.88,100_2021_219707_M,QUALICUM_RIVER,2021,3,P2,H11,26,as-is,P2,B9,10,0,,
219615,TH-Ext-2023-011,76.87,100_2021_219615_M,QUALICUM_RIVER,2021,3,P2,A12,21.82,as-is,P2,C9,10,0,,
93716,TH-Ext-2023-009,76.58,9105_2020_93716_M,PUNTLEDGE_RIVER_fall,2020,4,P2,B12,23.89,as-is,P2,D9,10,0,,
223298,TH-Ext-2023-010,76.55,9107_2021_223298_M,CHILLIWACK_RIVER_fall,2021,2,P2,C12,24.39,as-is,P2,E9,10,0,,
54356,TH-Ext-2023-005,76.54,9105_2017_54356_M,PUNTLEDGE_RIVER_fall,2017,2,P2,D12,22.38,as-is,P2,F9,10,0,,
219233,TH-Ext-2023-011,76.43,100_2021_219233_M,QUALICUM_RIVER,2021,4,P2,E12,24.02,as-is,P2,G9,10,0,,
62,TH-Ext-2023-005,76.39,9105_2017_62_M,PUNTLEDGE_RIVER_fall,2017,4,P2,F12,26.39,as-is,P2,H9,10,0,,
223692,TH-Ext-2023-010,76.14,9107_2021_223692_M,CHILLIWACK_RIVER_fall,2021,3,P2,G12,25.65,as-is,P2,A10,10,0,,
7418,TH-Ext-2023-004,76.07,100_2016_7418_M,QUALICUM_RIVER,2016,2,P2,H12,27.28,as-is,P2,B10,10,0,,
